Branch;Coordinate;Avg Sales Volume;avg Contribution
Astra Isuzu Cileungsi;-6.366774491006758, 106.97489175531405;38;5%
Astra Isuzu Harapan Indah;-6.183116719102972, 106.97450507675696;30;4%
Astra Isuzu Sunter;-6.141283683110816, 106.88659352334253;52;6%
Astra Isuzu Ciputat;-6.312159609202352, 106.75317069450958;76;6%
Astra Isuzu Tangerang;-6.193514768182946, 106.58636452334326;19;3%
Astra Isuzu Daan Mogot;-6.154140142096784, 106.73380859782009;44;5%
Asco Isuzu Bekasi;-6.252739898691267, 107.03268268101476;59;7%
Astrido Deltamas;-6.37006051612584, 107.17650922851729;31;4%
Autotara Kalimalang;-6.248075836737135, 106.93104763460929;48;11%
Karabha Pulogadung;-6.179182497791622, 106.90313975772065;64;9%
Perros Kp. Bandan;-6.133190873405117, 106.81710351131271;4;0%
Prima Cikarang;-6.273260141564015, 107.10340826752112;44;5%
Tunas Daan Mogot;-6.166416866559233, 106.78583317591374;52;7%
Astrido Serpong;-6.2754596064227615, 106.65792948101522;89;11%
Autotara Parung;-6.427677310942457, 106.73214159783839;33;4%
Zirang Depok;-6.420959424354716, 106.8578102098526;80;10%
